State,Year,Crime Type,Value
kerala,2014,Assault against women,4367
madhya pradesh,2014,Assault against women,9609
maharashtra,2014,Assault against women,10001
manipur,2014,Assault against women,98
meghalaya,2014,Assault against women,105
mizoram,2014,Assault against women,97
nagaland,2014,Assault against women,16
odisha,2014,Assault against women,5543
punjab,2014,Assault against women,1113
rajasthan,2014,Assault against women,5999
sikkim,2014,Assault against women,34
tamil nadu,2014,Assault against women,1102
telangana,2014,Assault against women,3188
tripura,2014,Assault against women,492
uttar pradesh,2014,Assault against women,8605
uttarakhand,2014,Assault against women,343
west bengal,2014,Assault against women,5670
a & n islands,2014,Assault against women,41
chandigarh,2014,Assault against women,87
d&n haveli,2014,Assault against women,2
daman & diu,2014,Assault against women,3
delhi ut,2014,Assault against women,4322
lakshadweep,2014,Assault against women,1
puducherry,2014,Assault against women,32
andhra pradesh,2015,Assault against women,4616
arunachal pradesh,2015,Assault against women,101
assam,2015,Assault against women,4293
bihar,2015,Assault against women,198
chhattisgarh,2015,Assault against women,1868
goa,2015,Assault against women,150
gujarat,2015,Assault against women,1164
haryana,2015,Assault against women,1886
himachal pradesh,2015,Assault against women,434
jammu & kashmir,2015,Assault against women,1343
jharkhand,2015,Assault against women,844
karnataka,2015,Assault against women,5112
kerala,2015,Assault against women,3987
madhya pradesh,2015,Assault against women,8049
maharashtra,2015,Assault against women,11713
manipur,2015,Assault against women,84
meghalaya,2015,Assault against women,95
mizoram,2015,Assault against women,75
nagaland,2015,Assault against women,8
odisha,2015,Assault against women,6499
punjab,2015,Assault against women,1123
rajasthan,2015,Assault against women,4813
sikkim,2015,Assault against women,21
tamil nadu,2015,Assault against women,1163
telangana,2015,Assault against women,3608
tripura,2015,Assault against women,352
uttar pradesh,2015,Assault against women,7885
uttarakhand,2015,Assault against women,318
west bengal,2015,Assault against women,5069
a & n islands,2015,Assault against women,57
chandigarh,2015,Assault against women,76
d&n haveli,2015,Assault against women,5
daman & diu,2015,Assault against women,7
delhi ut,2015,Assault against women,5367
lakshadweep,2015,Assault against women,6
puducherry,2015,Assault against women,33
andhra pradesh,2016,Assault against women,4829
arunachal pradesh,2016,Assault against women,109
assam,2016,Assault against women,3378
bihar,2016,Assault against women,324
chhattisgarh,2016,Assault against women,1770
goa,2016,Assault against women,143
gujarat,2016,Assault against women,1224
haryana,2016,Assault against women,1860
himachal pradesh,2016,Assault against women,410
jammu & kashmir,2016,Assault against women,1235
jharkhand,2016,Assault against women,667
karnataka,2016,Assault against women,5260
kerala,2016,Assault against women,4029
madhya pradesh,2016,Assault against women,8717
maharashtra,2016,Assault against women,11396
manipur,2016,Assault against women,65
meghalaya,2016,Assault against women,68
mizoram,2016,Assault against women,71
nagaland,2016,Assault against women,14
odisha,2016,Assault against women,8252
punjab,2016,Assault against women,1025
rajasthan,2016,Assault against women,4839
sikkim,2016,Assault against women,34
tamil nadu,2016,Assault against women,854
telangana,2016,Assault against women,3767
tripura,2016,Assault against women,214
uttar pradesh,2016,Assault against women,11335
uttarakhand,2016,Assault against women,344
west bengal,2016,Assault against women,4177
a & n islands,2016,Assault against women,46
chandigarh,2016,Assault against women,76
d&n haveli,2016,Assault against women,1
daman & diu,2016,Assault against women,4
delhi ut,2016,Assault against women,4165
lakshadweep,2016,Assault against women,1
puducherry,2016,Assault against women,43
andhra pradesh,2017,Assault against women,5129
arunachal pradesh,2017,Assault against women,97
assam,2017,Assault against women,3569
bihar,2017,Assault against women,197
chhattisgarh,2017,Assault against women,1899
goa,2017,Assault against women,134
gujarat,2017,Assault against women,1058
haryana,2017,Assault against women,2031
himachal pradesh,2017,Assault against women,397
jammu & kashmir,2017,Assault against women,1417
jharkhand,2017,Assault against women,748
karnataka,2017,Assault against women,5763
kerala,2017,Assault against women,4413
madhya pradesh,2017,Assault against women,9252
maharashtra,2017,Assault against women,9392
manipur,2017,Assault against women,66
meghalaya,2017,Assault against women,88
mizoram,2017,Assault against women,64
nagaland,2017,Assault against women,12
odisha,2017,Assault against women,9132
punjab,2017,Assault against women,933
rajasthan,2017,Assault against women,4883
sikkim,2017,Assault against women,21
tamil nadu,2017,Assault against women,744
telangana,2017,Assault against women,4409
tripura,2017,Assault against women,225
uttar pradesh,2017,Assault against women,12607
uttarakhand,2017,Assault against women,435
west bengal,2017,Assault against women,3832
a & n islands,2017,Assault against women,38
chandigarh,2017,Assault against women,100
d&n haveli,2017,Assault against women,3
daman & diu,2017,Assault against women,6
delhi ut,2017,Assault against women,2874
lakshadweep,2017,Assault against women,0
puducherry,2017,Assault against women,33
andhra pradesh,2018,Assault against women,4445
arunachal pradesh,2018,Assault against women,103
assam,2018,Assault against women,4180
bihar,2018,Assault against women,262
chhattisgarh,2018,Assault against women,1854
goa,2018,Assault against women,125
gujarat,2018,Assault against women,1208
haryana,2018,Assault against women,2671
himachal pradesh,2018,Assault against women,513
jammu & kashmir,2018,Assault against women,1597
jharkhand,2018,Assault against women,1378
karnataka,2018,Assault against women,5204
kerala,2018,Assault against women,4544
madhya pradesh,2018,Assault against women,8790
maharashtra,2018,Assault against women,10835
manipur,2018,Assault against women,56
meghalaya,2018,Assault against women,95
mizoram,2018,Assault against women,67
nagaland,2018,Assault against women,10
odisha,2018,Assault against women,9973
punjab,2018,Assault against women,956
rajasthan,2018,Assault against women,5249
sikkim,2018,Assault against women,23
tamil nadu,2018,Assault against women,814
telangana,2018,Assault against women,4567
tripura,2018,Assault against women,165
uttar pradesh,2018,Assault against women,12555
uttarakhand,2018,Assault against women,548
west bengal,2018,Assault against women,3399
a & n islands,2018,Assault against women,35
chandigarh,2018,Assault against women,100
d&n haveli,2018,Assault against women,6
daman & diu,2018,Assault against women,5
delhi ut,2018,Assault against women,2705
lakshadweep,2018,Assault against women,0
puducherry,2018,Assault against women,60
andhra pradesh,2019,Assault against women,4444
arunachal pradesh,2019,Assault against women,80
assam,2019,Assault against women,4619
bihar,2019,Assault against women,312
chhattisgarh,2019,Assault against women,1316
goa,2019,Assault against women,119
gujarat,2019,Assault against women,1048
haryana,2019,Assault against women,2581
himachal pradesh,2019,Assault against women,498
jammu & kashmir,2019,Assault against women,1440
jharkhand,2019,Assault against women,1646
karnataka,2019,Assault against women,4937
kerala,2019,Assault against women,4507
madhya pradesh,2019,Assault against women,5585
maharashtra,2019,Assault against women,10472
manipur,2019,Assault against women,59
meghalaya,2019,Assault against women,96
mizoram,2019,Assault against women,35
nagaland,2019,Assault against women,8
odisha,2019,Assault against women,11308
punjab,2019,Assault against women,944
rajasthan,2019,Assault against women,8802
sikkim,2019,Assault against women,21
tamil nadu,2019,Assault against women,803
telangana,2019,Assault against women,4190
tripura,2019,Assault against women,153
uttar pradesh,2019,Assault against women,11988
uttarakhand,2019,Assault against women,475
west bengal,2019,Assault against women,3399
a & n islands,2019,Assault against women,25
chandigarh,2019,Assault against women,66
d&n haveli,2019,Assault against women,3
daman & diu,2019,Assault against women,5
delhi ut,2019,Assault against women,2355
lakshadweep,2019,Assault against women,5
puducherry,2019,Assault against women,23
andhra pradesh,2020,Assault against women,4886
arunachal pradesh,2020,Assault against women,73
assam,2020,Assault against women,4642
bihar,2020,Assault against women,584
chhattisgarh,2020,Assault against women,1461
goa,2020,Assault against women,67
gujarat,2020,Assault against women,846
haryana,2020,Assault against women,2339
himachal pradesh,2020,Assault against women,538
jammu & kashmir,2020,Assault against women,1358
jharkhand,2020,Assault against women,4751
karnataka,2020,Assault against women,3890
kerala,2020,Assault against women,5378
madhya pradesh,2020,Assault against women,9965
maharashtra,2020,Assault against women,61
manipur,2020,Assault against women,86
meghalaya,2020,Assault against women,26
mizoram,2020,Assault against women,7
nagaland,2020,Assault against women,12605
odisha,2020,Assault against women,731
punjab,2020,Assault against women,8661
rajasthan,2020,Assault against women,18
sikkim,2020,Assault against women,892
tamil nadu,2020,Assault against women,4907
telangana,2020,Assault against women,115
tripura,2020,Assault against women,9864
uttar pradesh,2020,Assault against women,474
uttarakhand,2020,Assault against women,2488
west bengal,2020,Assault against women,15
a & n islands,2020,Assault against women,42
chandigarh,2020,Assault against women,6
d&n haveli,2020,Assault against women,1840
daman & diu,2020,Assault against women,1744
delhi ut,2020,Assault against women,4
lakshadweep,2020,Assault against women,3
puducherry,2020,Assault against women,25
andhra pradesh,2021,Assault against women,5108
arunachal pradesh,2021,Assault against women,74
assam,2021,Assault against women,4499
bihar,2021,Assault against women,387
chhattisgarh,2021,Assault against women,1248
goa,2021,Assault against women,74
gujarat,2021,Assault against women,660
haryana,2021,Assault against women,2882
himachal pradesh,2021,Assault against women,487
jammu & kashmir,2021,Assault against women,1335
jharkhand,2021,Assault against women,5105
karnataka,2021,Assault against women,4059
kerala,2021,Assault against women,5760
madhya pradesh,2021,Assault against women,10568
maharashtra,2021,Assault against women,92
manipur,2021,Assault against women,92
meghalaya,2021,Assault against women,31
mizoram,2021,Assault against women,11
nagaland,2021,Assault against women,14853
odisha,2021,Assault against women,678
punjab,2021,Assault against women,9079
rajasthan,2021,Assault against women,17
sikkim,2021,Assault against women,1077
tamil nadu,2021,Assault against women,4365
telangana,2021,Assault against women,94
tripura,2021,Assault against women,9393
uttar pradesh,2021,Assault against women,655
uttarakhand,2021,Assault against women,2485
west bengal,2021,Assault against women,32
a & n islands,2021,Assault against women,37
chandigarh,2021,Assault against women,7
d&n haveli,2021,Assault against women,2068
daman & diu,2021,Assault against women,1851
delhi ut,2021,Assault against women,5
lakshadweep,2021,Assault against women,1
puducherry,2021,Assault against women,31
andhra pradesh,2001,Assault against modesty of women,2271
arunachal pradesh,2001,Assault against modesty of women,3
assam,2001,Assault against modesty of women,4
bihar,2001,Assault against modesty of women,21
chhattisgarh,2001,Assault against modesty of women,161
goa,2001,Assault against modesty of women,7
gujarat,2001,Assault against modesty of women,111
haryana,2001,Assault against modesty of women,401
himachal pradesh,2001,Assault against modesty of women,14
jammu & kashmir,2001,Assault against modesty of women,288
jharkhand,2001,Assault against modesty of women,5
karnataka,2001,Assault against modesty of women,81
kerala,2001,Assault against modesty of women,81
madhya pradesh,2001,Assault against modesty of women,751
maharashtra,2001,Assault against modesty of women,1120
manipur,2001,Assault against modesty of women,0
meghalaya,2001,Assault against modesty of women,0
mizoram,2001,Assault against modesty of women,0
nagaland,2001,Assault against modesty of women,0
odisha,2001,Assault against modesty of women,458
punjab,2001,Assault against modesty of women,47
rajasthan,2001,Assault against modesty of women,56
sikkim,2001,Assault against modesty of women,14
tamil nadu,2001,Assault against modesty of women,1012
tripura,2001,Assault against modesty of women,0
uttar pradesh,2001,Assault against modesty of women,2575
uttarakhand,2001,Assault against modesty of women,84
west bengal,2001,Assault against modesty of women,48
a & n islands,2001,Assault against modesty of women,1
chandigarh,2001,Assault against modesty of women,15
d & n haveli,2001,Assault against modesty of women,0
daman & diu,2001,Assault against modesty of women,0
lakshadweep,2001,Assault against modesty of women,0
puducherry,2001,Assault against modesty of women,27
andhra pradesh,2002,Assault against modesty of women,2024
arunachal pradesh,2002,Assault against modesty of women,2
assam,2002,Assault against modesty of women,7
bihar,2002,Assault against modesty of women,6
chhattisgarh,2002,Assault against modesty of women,147
goa,2002,Assault against modesty of women,6
gujarat,2002,Assault against modesty of women,104
haryana,2002,Assault against modesty of women,1424
himachal pradesh,2002,Assault against modesty of women,12
jammu & kashmir,2002,Assault against modesty of women,368
jharkhand,2002,Assault against modesty of women,3
karnataka,2002,Assault against modesty of women,100
kerala,2002,Assault against modesty of women,102
madhya pradesh,2002,Assault against modesty of women,783
maharashtra,2002,Assault against modesty of women,769
manipur,2002,Assault against modesty of women,0
meghalaya,2002,Assault against modesty of women,0
mizoram,2002,Assault against modesty of women,0
nagaland,2002,Assault against modesty of women,0
odisha,2002,Assault against modesty of women,188
punjab,2002,Assault against modesty of women,145
rajasthan,2002,Assault against modesty of women,44
sikkim,2002,Assault against modesty of women,0
tamil nadu,2002,Assault against modesty of women,1718
tripura,2002,Assault against modesty of women,0
uttar pradesh,2002,Assault against modesty of women,1887
uttarakhand,2002,Assault against modesty of women,97
west bengal,2002,Assault against modesty of women,34
a & n islands,2002,Assault against modesty of women,3
chandigarh,2002,Assault against modesty of women,28
d & n haveli,2002,Assault against modesty of women,0
daman & diu,2002,Assault against modesty of women,0
lakshadweep,2002,Assault against modesty of women,0
puducherry,2002,Assault against modesty of women,26
andhra pradesh,2003,Assault against modesty of women,2286
arunachal pradesh,2003,Assault against modesty of women,0
assam,2003,Assault against modesty of women,6
bihar,2003,Assault against modesty of women,11
chhattisgarh,2003,Assault against modesty of women,105
goa,2003,Assault against modesty of women,7
gujarat,2003,Assault against modesty of women,92
haryana,2003,Assault against modesty of women,1302
himachal pradesh,2003,Assault against modesty of women,18
jammu & kashmir,2003,Assault against modesty of women,376
jharkhand,2003,Assault against modesty of women,2
karnataka,2003,Assault against modesty of women,84
kerala,2003,Assault against modesty of women,68
madhya pradesh,2003,Assault against modesty of women,705
maharashtra,2003,Assault against modesty of women,682
manipur,2003,Assault against modesty of women,0
meghalaya,2003,Assault against modesty of women,1
mizoram,2003,Assault against modesty of women,0
nagaland,2003,Assault against modesty of women,2
odisha,2003,Assault against modesty of women,188
punjab,2003,Assault against modesty of women,199
rajasthan,2003,Assault against modesty of women,33
sikkim,2003,Assault against modesty of women,0
tamil nadu,2003,Assault against modesty of women,881
tripura,2003,Assault against modesty of women,0
uttar pradesh,2003,Assault against modesty of women,4970
uttarakhand,2003,Assault against modesty of women,98
west bengal,2003,Assault against modesty of women,71
a & n islands,2003,Assault against modesty of women,2
chandigarh,2003,Assault against modesty of women,4
d & n haveli,2003,Assault against modesty of women,0
daman & diu,2003,Assault against modesty of women,0
lakshadweep,2003,Assault against modesty of women,0
puducherry,2003,Assault against modesty of women,27
andhra pradesh,2004,Assault against modesty of women,2310
arunachal pradesh,2004,Assault against modesty of women,0
assam,2004,Assault against modesty of women,11
bihar,2004,Assault against modesty of women,13
chhattisgarh,2004,Assault against modesty of women,131
goa,2004,Assault against modesty of women,15
gujarat,2004,Assault against modesty of women,164
haryana,2004,Assault against modesty of women,850
himachal pradesh,2004,Assault against modesty of women,16
jammu & kashmir,2004,Assault against modesty of women,264
jharkhand,2004,Assault against modesty of women,3
karnataka,2004,Assault against modesty of women,57
kerala,2004,Assault against modesty of women,133
madhya pradesh,2004,Assault against modesty of women,804
maharashtra,2004,Assault against modesty of women,862
manipur,2004,Assault against modesty of women,0
meghalaya,2004,Assault against modesty of women,0
mizoram,2004,Assault against modesty of women,0
nagaland,2004,Assault against modesty of women,1
odisha,2004,Assault against modesty of women,170
punjab,2004,Assault against modesty of women,38
rajasthan,2004,Assault against modesty of women,41
sikkim,2004,Assault against modesty of women,0
tamil nadu,2004,Assault against modesty of women,1081
tripura,2004,Assault against modesty of women,0
uttar pradesh,2004,Assault against modesty of women,2682
uttarakhand,2004,Assault against modesty of women,110
west bengal,2004,Assault against modesty of women,64
a & n islands,2004,Assault against modesty of women,3
chandigarh,2004,Assault against modesty of women,18
d & n haveli,2004,Assault against modesty of women,0
daman & diu,2004,Assault against modesty of women,0
lakshadweep,2004,Assault against modesty of women,0
puducherry,2004,Assault against modesty of women,30
andhra pradesh,2005,Assault against modesty of women,2508
arunachal pradesh,2005,Assault against modesty of women,0
assam,2005,Assault against modesty of women,19
bihar,2005,Assault against modesty of women,13
chhattisgarh,2005,Assault against modesty of women,132
goa,2005,Assault against modesty of women,8
gujarat,2005,Assault against modesty of women,104
haryana,2005,Assault against modesty of women,597
himachal pradesh,2005,Assault against modesty of women,29
jammu & kashmir,2005,Assault against modesty of women,371
jharkhand,2005,Assault against modesty of women,36
karnataka,2005,Assault against modesty of women,71
kerala,2005,Assault against modesty of women,175
madhya pradesh,2005,Assault against modesty of women,792
maharashtra,2005,Assault against modesty of women,919
manipur,2005,Assault against modesty of women,0
meghalaya,2005,Assault against modesty of women,0
mizoram,2005,Assault against modesty of women,4
nagaland,2005,Assault against modesty of women,0
odisha,2005,Assault against modesty of women,184
punjab,2005,Assault against modesty of women,43
rajasthan,2005,Assault against modesty of women,28
sikkim,2005,Assault against modesty of women,0
tamil nadu,2005,Assault against modesty of women,665
tripura,2005,Assault against modesty of women,1
uttar pradesh,2005,Assault against modesty of women,2881
uttarakhand,2005,Assault against modesty of women,89
west bengal,2005,Assault against modesty of women,54
a & n islands,2005,Assault against modesty of women,1
chandigarh,2005,Assault against modesty of women,9
d & n haveli,2005,Assault against modesty of women,0
daman & diu,2005,Assault against modesty of women,0
lakshadweep,2005,Assault against modesty of women,0
puducherry,2005,Assault against modesty of women,26
andhra pradesh,2006,Assault against modesty of women,2411
arunachal pradesh,2006,Assault against modesty of women,2
assam,2006,Assault against modesty of women,10
bihar,2006,Assault against modesty of women,53
chhattisgarh,2006,Assault against modesty of women,143
goa,2006,Assault against modesty of women,7
gujarat,2006,Assault against modesty of women,138
haryana,2006,Assault against modesty of women,491
himachal pradesh,2006,Assault against modesty of women,31
jammu & kashmir,2006,Assault against modesty of women,347
jharkhand,2006,Assault against modesty of women,44
karnataka,2006,Assault against modesty of women,38
kerala,2006,Assault against modesty of women,222
madhya pradesh,2006,Assault against modesty of women,762
maharashtra,2006,Assault against modesty of women,984
manipur,2006,Assault against modesty of women,0
meghalaya,2006,Assault against modesty of women,0
mizoram,2006,Assault against modesty of women,0
nagaland,2006,Assault against modesty of women,2
odisha,2006,Assault against modesty of women,247
punjab,2006,Assault against modesty of women,60
rajasthan,2006,Assault against modesty of women,31
sikkim,2006,Assault against modesty of women,0
tamil nadu,2006,Assault against modesty of women,852
tripura,2006,Assault against modesty of women,0
uttar pradesh,2006,Assault against modesty of women,2714
uttarakhand,2006,Assault against modesty of women,113
west bengal,2006,Assault against modesty of women,63
a & n islands,2006,Assault against modesty of women,4
chandigarh,2006,Assault against modesty of women,13
d & n haveli,2006,Assault against modesty of women,1
daman & diu,2006,Assault against modesty of women,0
lakshadweep,2006,Assault against modesty of women,0
puducherry,2006,Assault against modesty of women,39
andhra pradesh,2007,Assault against modesty of women,3316
arunachal pradesh,2007,Assault against modesty of women,1
assam,2007,Assault against modesty of women,10
bihar,2007,Assault against modesty of women,12
chhattisgarh,2007,Assault against modesty of women,111
goa,2007,Assault against modesty of women,7
gujarat,2007,Assault against modesty of women,120
haryana,2007,Assault against modesty of women,409
himachal pradesh,2007,Assault against modesty of women,33
jammu & kashmir,2007,Assault against modesty of women,353
jharkhand,2007,Assault against modesty of women,15
karnataka,2007,Assault against modesty of women,28
kerala,2007,Assault against modesty of women,262
madhya pradesh,2007,Assault against modesty of women,780
maharashtra,2007,Assault against modesty of women,1039
manipur,2007,Assault against modesty of women,0
meghalaya,2007,Assault against modesty of women,1
mizoram,2007,Assault against modesty of women,0
nagaland,2007,Assault against modesty of women,1
odisha,2007,Assault against modesty of women,241
punjab,2007,Assault against modesty of women,48
rajasthan,2007,Assault against modesty of women,28
sikkim,2007,Assault against modesty of women,0
tamil nadu,2007,Assault against modesty of women,875
tripura,2007,Assault against modesty of women,4
uttar pradesh,2007,Assault against modesty of women,2882
uttarakhand,2007,Assault against modesty of women,63
west bengal,2007,Assault against modesty of women,99
a & n islands,2007,Assault against modesty of women,2
chandigarh,2007,Assault against modesty of women,11
d & n haveli,2007,Assault against modesty of women,0
daman & diu,2007,Assault against modesty of women,0
lakshadweep,2007,Assault against modesty of women,0
puducherry,2007,Assault against modesty of women,32
andhra pradesh,2008,Assault against modesty of women,3551
arunachal pradesh,2008,Assault against modesty of women,1
assam,2008,Assault against modesty of women,2
bihar,2008,Assault against modesty of women,21
chhattisgarh,2008,Assault against modesty of women,125
goa,2008,Assault against modesty of women,12
gujarat,2008,Assault against modesty of women,122
haryana,2008,Assault against modesty of women,605
himachal pradesh,2008,Assault against modesty of women,41
jammu & kashmir,2008,Assault against modesty of women,296
jharkhand,2008,Assault against modesty of women,23
karnataka,2008,Assault against modesty of women,44
kerala,2008,Assault against modesty of women,258
madhya pradesh,2008,Assault against modesty of women,758
maharashtra,2008,Assault against modesty of women,1091
manipur,2008,Assault against modesty of women,0
meghalaya,2008,Assault against modesty of women,4
mizoram,2008,Assault against modesty of women,0
nagaland,2008,Assault against modesty of women,1
odisha,2008,Assault against modesty of women,282
punjab,2008,Assault against modesty of women,49
rajasthan,2008,Assault against modesty of women,19
sikkim,2008,Assault against modesty of women,0
tamil nadu,2008,Assault against modesty of women,974
tripura,2008,Assault against modesty of women,4
uttar pradesh,2008,Assault against modesty of women,3374
uttarakhand,2008,Assault against modesty of women,306
west bengal,2008,Assault against modesty of women,94
a & n islands,2008,Assault against modesty of women,3
chandigarh,2008,Assault against modesty of women,2
d & n haveli,2008,Assault against modesty of women,0
daman & diu,2008,Assault against modesty of women,1
lakshadweep,2008,Assault against modesty of women,0
puducherry,2008,Assault against modesty of women,21
andhra pradesh,2009,Assault against modesty of women,3520
arunachal pradesh,2009,Assault against modesty of women,6
assam,2009,Assault against modesty of women,10
bihar,2009,Assault against modesty of women,12
chhattisgarh,2009,Assault against modesty of women,152
goa,2009,Assault against modesty of women,10
gujarat,2009,Assault against modesty of women,114
haryana,2009,Assault against modesty of women,605
himachal pradesh,2009,Assault against modesty of women,37
jammu & kashmir,2009,Assault against modesty of women,371
jharkhand,2009,Assault against modesty of women,83
karnataka,2009,Assault against modesty of women,64
kerala,2009,Assault against modesty of women,395
madhya pradesh,2009,Assault against modesty of women,728
maharashtra,2009,Assault against modesty of women,1099
manipur,2009,Assault against modesty of women,2
meghalaya,2009,Assault against modesty of women,1
mizoram,2009,Assault against modesty of women,1
nagaland,2009,Assault against modesty of women,0
odisha,2009,Assault against modesty of women,210
punjab,2009,Assault against modesty of women,33
rajasthan,2009,Assault against modesty of women,24
sikkim,2009,Assault against modesty of women,0
tamil nadu,2009,Assault against modesty of women,501
tripura,2009,Assault against modesty of women,5
uttar pradesh,2009,Assault against modesty of women,2524
uttarakhand,2009,Assault against modesty of women,249
west bengal,2009,Assault against modesty of women,108
a & n islands,2009,Assault against modesty of women,7
chandigarh,2009,Assault against modesty of women,2
d & n haveli,2009,Assault against modesty of women,1
daman & diu,2009,Assault against modesty of women,1
lakshadweep,2009,Assault against modesty of women,0
puducherry,2009,Assault against modesty of women,16
andhra pradesh,2010,Assault against modesty of women,4562
arunachal pradesh,2010,Assault against modesty of women,1
assam,2010,Assault against modesty of women,20
bihar,2010,Assault against modesty of women,16
chhattisgarh,2010,Assault against modesty of women,182
goa,2010,Assault against modesty of women,16
gujarat,2010,Assault against modesty of women,110
haryana,2010,Assault against modesty of women,580
himachal pradesh,2010,Assault against modesty of women,78
jammu & kashmir,2010,Assault against modesty of women,262
jharkhand,2010,Assault against modesty of women,16
karnataka,2010,Assault against modesty of women,83
kerala,2010,Assault against modesty of women,537
madhya pradesh,2010,Assault against modesty of women,918
maharashtra,2010,Assault against modesty of women,1180
manipur,2010,Assault against modesty of women,0
meghalaya,2010,Assault against modesty of women,0
mizoram,2010,Assault against modesty of women,0
nagaland,2010,Assault against modesty of women,3
odisha,2010,Assault against modesty of women,232
punjab,2010,Assault against modesty of women,38
rajasthan,2010,Assault against modesty of women,23
sikkim,2010,Assault against modesty of women,0
tamil nadu,2010,Assault against modesty of women,638
tripura,2010,Assault against modesty of women,9
uttar pradesh,2010,Assault against modesty of women,11
uttarakhand,2010,Assault against modesty of women,165
west bengal,2010,Assault against modesty of women,163
a & n islands,2010,Assault against modesty of women,10
chandigarh,2010,Assault against modesty of women,4
d & n haveli,2010,Assault against modesty of women,2
daman & diu,2010,Assault against modesty of women,0
lakshadweep,2010,Assault against modesty of women,0
puducherry,2010,Assault against modesty of women,22
andhra pradesh,2011,Assault against modesty of women,3658
arunachal pradesh,2011,Assault against modesty of women,0
assam,2011,Assault against modesty of women,8
bihar,2011,Assault against modesty of women,11
chhattisgarh,2011,Assault against modesty of women,174
goa,2011,Assault against modesty of women,12
gujarat,2011,Assault against modesty of women,93
haryana,2011,Assault against modesty of women,490
himachal pradesh,2011,Assault against modesty of women,62
jammu & kashmir,2011,Assault against modesty of women,350
jharkhand,2011,Assault against modesty of women,7
karnataka,2011,Assault against modesty of women,81
kerala,2011,Assault against modesty of women,573
madhya pradesh,2011,Assault against modesty of women,762
maharashtra,2011,Assault against modesty of women,1071
manipur,2011,Assault against modesty of women,0
meghalaya,2011,Assault against modesty of women,1
mizoram,2011,Assault against modesty of women,1
nagaland,2011,Assault against modesty of women,0
odisha,2011,Assault against modesty of women,235
punjab,2011,Assault against modesty of women,31
rajasthan,2011,Assault against modesty of women,9
sikkim,2011,Assault against modesty of women,0
tamil nadu,2011,Assault against modesty of women,464
telangana,2011,Assault against modesty of women,0
tripura,2011,Assault against modesty of women,9
uttar pradesh,2011,Assault against modesty of women,3
uttarakhand,2011,Assault against modesty of women,72
west bengal,2011,Assault against modesty of women,200
a & n islands,2011,Assault against modesty of women,3
chandigarh,2011,Assault against modesty of women,12
d&n haveli,2011,Assault against modesty of women,0
daman & diu,2011,Assault against modesty of women,0
delhi ut,2011,Assault against modesty of women,162
lakshadweep,2011,Assault against modesty of women,0
puducherry,2011,Assault against modesty of women,16
andhra pradesh,2012,Assault against modesty of women,3714
arunachal pradesh,2012,Assault against modesty of women,2
assam,2012,Assault against modesty of women,5
bihar,2012,Assault against modesty of women,37
chhattisgarh,2012,Assault against modesty of women,162
goa,2012,Assault against modesty of women,16
gujarat,2012,Assault against modesty of women,93
haryana,2012,Assault against modesty of women,434
himachal pradesh,2012,Assault against modesty of women,68
jammu & kashmir,2012,Assault against modesty of women,347
jharkhand,2012,Assault against modesty of women,10
karnataka,2012,Assault against modesty of women,100
kerala,2012,Assault against modesty of women,498
madhya pradesh,2012,Assault against modesty of women,774
maharashtra,2012,Assault against modesty of women,1294
manipur,2012,Assault against modesty of women,1
meghalaya,2012,Assault against modesty of women,0
mizoram,2012,Assault against modesty of women,0
nagaland,2012,Assault against modesty of women,0
odisha,2012,Assault against modesty of women,304
punjab,2012,Assault against modesty of women,31
rajasthan,2012,Assault against modesty of women,18
sikkim,2012,Assault against modesty of women,0
tamil nadu,2012,Assault against modesty of women,382
telangana,2012,Assault against modesty of women,0
tripura,2012,Assault against modesty of women,7
uttar pradesh,2012,Assault against modesty of women,8
uttarakhand,2012,Assault against modesty of women,73
west bengal,2012,Assault against modesty of women,556
a & n islands,2012,Assault against modesty of women,4
chandigarh,2012,Assault against modesty of women,25
d&n haveli,2012,Assault against modesty of women,0
daman & diu,2012,Assault against modesty of women,0
delhi ut,2012,Assault against modesty of women,208
lakshadweep,2012,Assault against modesty of women,0
puducherry,2012,Assault against modesty of women,2
andhra pradesh,2013,Assault against modesty of women,4702
arunachal pradesh,2013,Assault against modesty of women,3
assam,2013,Assault against modesty of women,14
bihar,2013,Assault against modesty of women,52
chhattisgarh,2013,Assault against modesty of women,180
goa,2013,Assault against modesty of women,54
gujarat,2013,Assault against modesty of women,77
haryana,2013,Assault against modesty of women,643
himachal pradesh,2013,Assault against modesty of women,111
jammu & kashmir,2013,Assault against modesty of women,354
jharkhand,2013,Assault against modesty of women,18
karnataka,2013,Assault against modesty of women,137
kerala,2013,Assault against modesty of women,404
madhya pradesh,2013,Assault against modesty of women,736
maharashtra,2013,Assault against modesty of women,2632
manipur,2013,Assault against modesty of women,0
meghalaya,2013,Assault against modesty of women,0
mizoram,2013,Assault against modesty of women,0
nagaland,2013,Assault against modesty of women,1
odisha,2013,Assault against modesty of women,426
punjab,2013,Assault against modesty of women,67
rajasthan,2013,Assault against modesty of women,25
sikkim,2013,Assault against modesty of women,0
tamil nadu,2013,Assault against modesty of women,313
telangana,2013,Assault against modesty of women,0
tripura,2013,Assault against modesty of women,7
uttar pradesh,2013,Assault against modesty of women,25
uttarakhand,2013,Assault against modesty of women,72
west bengal,2013,Assault against modesty of women,577
a & n islands,2013,Assault against modesty of women,8
